-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 12/31/2021 
Location: Latitude  6.8   Longitude 12.9 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1034.06 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,T2M
2019,1,1,19.79
2019,1,2,19.73
2019,1,3,19.27
2019,1,4,20.25
2019,1,5,19.55
2019,1,6,19.48
2019,1,7,19.58
2019,1,8,18.76
2019,1,9,18.94
2019,1,10,20.6
2019,1,11,20.11
2019,1,12,20.9
2019,1,13,21.59
2019,1,14,21.19
2019,1,15,19.96
2019,1,16,19.61
2019,1,17,20.26
2019,1,18,20.87
2019,1,19,21.19
2019,1,20,22.1
2019,1,21,22.33
2019,1,22,22.34
2019,1,23,22.4
2019,1,24,22.76
2019,1,25,22.74
2019,1,26,23.59
2019,1,27,22.82
2019,1,28,22.18
2019,1,29,20.87
2019,1,30,20.93
2019,1,31,19.74
2019,2,1,21.58
2019,2,2,22.7
2019,2,3,21.95
2019,2,4,22.74
2019,2,5,22.08
2019,2,6,20.64
2019,2,7,19.87
2019,2,8,20.08
2019,2,9,20.32
2019,2,10,21.45
2019,2,11,20.3
2019,2,12,21.28
2019,2,13,21.28
2019,2,14,20.68
2019,2,15,20.36
2019,2,16,20.14
2019,2,17,20.73
2019,2,18,21.69
2019,2,19,22.58
2019,2,20,23.23
2019,2,21,24.02
2019,2,22,23.26
2019,2,23,24.3
2019,2,24,24.1
2019,2,25,22.93
2019,2,26,22.61
2019,2,27,22.59
2019,2,28,22.3
2019,3,1,24.23
2019,3,2,24.93
2019,3,3,23.98
2019,3,4,24.19
2019,3,5,23.73
2019,3,6,24.38
2019,3,7,23.9
2019,3,8,24.43
2019,3,9,24.32
2019,3,10,25.72
2019,3,11,25.4
2019,3,12,24.45
2019,3,13,25.77
2019,3,14,25.21
2019,3,15,25.01
2019,3,16,26.18
2019,3,17,26.14
2019,3,18,26.69
2019,3,19,26.2
2019,3,20,25.53
2019,3,21,24.73
2019,3,22,25.84
2019,3,23,23.56
2019,3,24,22.78
2019,3,25,23.68
2019,3,26,23.9
2019,3,27,25.08
2019,3,28,25.02
2019,3,29,25.08
2019,3,30,25.55
2019,3,31,25.4
2019,4,1,24.93
