-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 12/31/2021 in LST
Location: latitude  -3.1636   longitude -34.4532 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,T2M
2019,1,1,27.51
2019,1,2,27.32
2019,1,3,27.52
2019,1,4,27.39
2019,1,5,27.81
2019,1,6,27.5
2019,1,7,27.51
2019,1,8,26.21
2019,1,9,26.17
2019,1,10,27.18
2019,1,11,27.3
2019,1,12,26.65
2019,1,13,26.86
2019,1,14,27.47
2019,1,15,27.48
2019,1,16,26.6
2019,1,17,27.12
2019,1,18,27.23
2019,1,19,26.7
2019,1,20,27.39
2019,1,21,27.9
2019,1,22,27.9
2019,1,23,27.99
2019,1,24,28.04
2019,1,25,27.58
2019,1,26,27.42
2019,1,27,27.48
2019,1,28,27.47
2019,1,29,27.4
2019,1,30,27.33
2019,1,31,27.14
2019,2,1,27.2
2019,2,2,27.28
2019,2,3,27.76
2019,2,4,27.61
2019,2,5,28.13
2019,2,6,28.01
2019,2,7,27.65
2019,2,8,28.16
2019,2,9,28.18
2019,2,10,28.21
2019,2,11,27.8
2019,2,12,27.84
2019,2,13,27.49
2019,2,14,27.78
2019,2,15,27.69
2019,2,16,27.88
2019,2,17,27.87
2019,2,18,28.33
2019,2,19,28.4
2019,2,20,27.68
2019,2,21,27.95
2019,2,22,28.07
2019,2,23,27.24
2019,2,24,28.09
2019,2,25,27.74
2019,2,26,27.6
2019,2,27,27.1
2019,2,28,27.39
2019,3,1,27.43
2019,3,2,26.8
2019,3,3,26.97
2019,3,4,27.27
2019,3,5,27.85
2019,3,6,27.3
2019,3,7,26.69
2019,3,8,27.66
2019,3,9,27.59
2019,3,10,27.1
2019,3,11,27.64
2019,3,12,28.47
2019,3,13,28.04
2019,3,14,27.52
2019,3,15,27.37
2019,3,16,28.01
2019,3,17,27.16
2019,3,18,27.34
2019,3,19,27.9
2019,3,20,28.22
2019,3,21,28.24
2019,3,22,28.01
2019,3,23,27.97
2019,3,24,27.3
2019,3,25,27.12
2019,3,26,27.51
2019,3,27,27.91
2019,3,28,27.76
2019,3,29,27.94
2019,3,30,28.23
2019,3,31,27.28
2019,4,1,27.28
2019,4,2,27.68
2019,4,3,27.82
2019,4,4,28.26
2019,4,5,27.9
2019,4,6,27.35
2019,4,7,27.97
2019,4,8,28.17
2019,4,9,27.64
2019,4,10,27.94
2019,4,11,27.37
2019,4,12,27.47
2019,4,13,27.21
2019,4,14,26.86
2019,4,15,27.14
2019,4,16,27.18
2019,4,17,27.24
2019,4,18,27.55
2019,4,19,27.78
2019,4,20,27.91
2019,4,21,28.26
2019,4,22,27.78
2019,4,23,27.97
2019,4,24,28.23
2019,4,25,27.28
2019,4,26,26.76
2019,4,27,27.37
2019,4,28,28.49
2019,4,29,28.0
2019,4,30,27.85
2019,5,1,28.03
2019,5,2,28.97
2019,5,3,29.0
2019,5,4,28.95
2019,5,5,28.95
2019,5,6,28.59
2019,5,7,27.23
2019,5,8,28.04
2019,5,9,28.97
2019,5,10,28.66
2019,5,11,28.92
2019,5,12,28.82
2019,5,13,28.52
2019,5,14,27.7
2019,5,15,27.58
2019,5,16,27.99
2019,5,17,28.15
2019,5,18,27.82
2019,5,19,27.88
2019,5,20,27.81
2019,5,21,28.0
2019,5,22,28.09
2019,5,23,27.91
