-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 12/31/2021 in LST
Location: latitude  11.0032   longitude 14.5 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 374.65 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,T2M
2019,1,1,24.0
2019,1,2,23.29
2019,1,3,23.96
2019,1,4,24.62
2019,1,5,25.22
2019,1,6,24.82
2019,1,7,23.91
2019,1,8,23.5
2019,1,9,24.15
2019,1,10,24.5
2019,1,11,25.94
2019,1,12,26.23
2019,1,13,26.24
2019,1,14,24.6
2019,1,15,23.02
2019,1,16,22.66
2019,1,17,23.05
2019,1,18,24.01
2019,1,19,25.55
2019,1,20,27.04
2019,1,21,27.37
2019,1,22,27.19
2019,1,23,28.35
2019,1,24,27.89
2019,1,25,28.08
2019,1,26,28.29
2019,1,27,27.15
2019,1,28,26.14
2019,1,29,25.59
2019,1,30,26.0
2019,1,31,25.93
2019,2,1,27.24
2019,2,2,27.65
2019,2,3,28.72
2019,2,4,29.32
2019,2,5,28.9
2019,2,6,25.24
2019,2,7,24.49
2019,2,8,24.4
2019,2,9,25.2
2019,2,10,26.01
2019,2,11,26.09
2019,2,12,25.9
2019,2,13,26.11
2019,2,14,25.84
2019,2,15,24.43
2019,2,16,24.17
2019,2,17,25.35
2019,2,18,26.51
2019,2,19,28.09
2019,2,20,28.81
2019,2,21,29.3
2019,2,22,29.31
2019,2,23,31.32
2019,2,24,31.75
2019,2,25,28.66
2019,2,26,28.88
2019,2,27,30.38
2019,2,28,30.48
2019,3,1,31.59
2019,3,2,31.55
2019,3,3,31.45
2019,3,4,30.69
2019,3,5,30.51
2019,3,6,30.24
2019,3,7,30.74
2019,3,8,30.98
2019,3,9,32.5
2019,3,10,32.35
2019,3,11,31.39
2019,3,12,30.67
2019,3,13,31.66
2019,3,14,31.57
2019,3,15,30.75
2019,3,16,31.08
2019,3,17,31.26
2019,3,18,31.5
2019,3,19,31.71
2019,3,20,32.49
2019,3,21,33.24
2019,3,22,35.23
2019,3,23,35.08
2019,3,24,32.91
2019,3,25,32.11
2019,3,26,31.42
2019,3,27,31.81
2019,3,28,32.9
2019,3,29,34.13
2019,3,30,34.38
2019,3,31,33.06
2019,4,1,31.85
2019,4,2,32.62
2019,4,3,32.83
2019,4,4,33.88
2019,4,5,34.15
2019,4,6,35.33
2019,4,7,34.96
2019,4,8,35.55
2019,4,9,35.48
2019,4,10,35.15
2019,4,11,34.54
2019,4,12,34.89
2019,4,13,35.9
2019,4,14,33.67
2019,4,15,33.91
2019,4,16,33.6
2019,4,17,32.93
