-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 12/31/2021 in LST
Location: latitude  4.2592   longitude 10.1135 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 289.58 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,T2M
2019,1,1,25.2
2019,1,2,25.37
2019,1,3,25.44
2019,1,4,26.13
2019,1,5,25.27
2019,1,6,25.34
2019,1,7,25.28
2019,1,8,25.35
2019,1,9,25.44
2019,1,10,25.52
2019,1,11,26.05
2019,1,12,26.01
2019,1,13,26.02
2019,1,14,25.93
2019,1,15,26.29
2019,1,16,26.22
2019,1,17,26.36
2019,1,18,25.58
2019,1,19,26.0
2019,1,20,25.85
2019,1,21,25.62
2019,1,22,26.25
2019,1,23,25.64
2019,1,24,25.55
2019,1,25,23.75
2019,1,26,24.9
2019,1,27,25.32
2019,1,28,24.84
2019,1,29,25.12
2019,1,30,25.75
2019,1,31,26.28
2019,2,1,26.04
2019,2,2,25.87
2019,2,3,26.22
2019,2,4,26.03
2019,2,5,25.14
2019,2,6,25.67
2019,2,7,26.27
2019,2,8,26.02
2019,2,9,26.03
2019,2,10,26.52
2019,2,11,25.5
2019,2,12,25.53
2019,2,13,25.91
2019,2,14,25.54
2019,2,15,25.29
2019,2,16,25.59
2019,2,17,25.89
2019,2,18,25.8
2019,2,19,25.8
2019,2,20,25.54
2019,2,21,25.33
2019,2,22,25.27
2019,2,23,25.98
2019,2,24,25.97
2019,2,25,25.75
2019,2,26,24.97
2019,2,27,25.91
2019,2,28,25.56
2019,3,1,25.62
2019,3,2,25.05
2019,3,3,25.26
2019,3,4,25.38
2019,3,5,26.34
2019,3,6,25.79
2019,3,7,25.31
2019,3,8,26.27
2019,3,9,25.38
2019,3,10,25.49
2019,3,11,25.62
2019,3,12,26.44
2019,3,13,26.06
2019,3,14,26.0
2019,3,15,26.09
2019,3,16,26.07
2019,3,17,26.13
2019,3,18,26.84
