-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 12/31/2021 in LST
Location: latitude  5.5041   longitude 10.6516 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1151.19 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,T2M
2019,1,1,20.61
2019,1,2,20.96
2019,1,3,20.92
2019,1,4,20.88
2019,1,5,20.58
2019,1,6,20.81
2019,1,7,20.82
2019,1,8,20.28
2019,1,9,20.45
2019,1,10,20.92
2019,1,11,20.46
2019,1,12,21.35
2019,1,13,21.84
2019,1,14,21.75
2019,1,15,21.59
2019,1,16,21.39
2019,1,17,21.84
2019,1,18,21.44
2019,1,19,21.67
2019,1,20,21.87
2019,1,21,21.51
2019,1,22,21.9
2019,1,23,22.35
2019,1,24,22.62
2019,1,25,21.83
2019,1,26,22.62
2019,1,27,22.53
2019,1,28,22.18
2019,1,29,21.46
2019,1,30,21.99
2019,1,31,20.56
2019,2,1,22.19
2019,2,2,22.0
2019,2,3,22.55
2019,2,4,22.79
2019,2,5,21.99
2019,2,6,23.24
2019,2,7,22.16
2019,2,8,21.32
2019,2,9,22.31
2019,2,10,22.25
2019,2,11,21.25
2019,2,12,21.97
2019,2,13,22.0
2019,2,14,22.09
2019,2,15,21.76
2019,2,16,22.22
2019,2,17,22.29
2019,2,18,22.22
2019,2,19,23.21
2019,2,20,22.85
2019,2,21,22.61
2019,2,22,22.05
2019,2,23,22.65
2019,2,24,22.25
2019,2,25,22.02
2019,2,26,20.95
2019,2,27,22.05
2019,2,28,22.27
2019,3,1,22.16
2019,3,2,22.64
2019,3,3,22.49
2019,3,4,22.35
2019,3,5,23.06
2019,3,6,22.98
2019,3,7,21.92
2019,3,8,22.79
2019,3,9,22.3
2019,3,10,22.21
2019,3,11,22.82
2019,3,12,22.93
2019,3,13,22.89
2019,3,14,22.85
2019,3,15,22.6
2019,3,16,22.62
2019,3,17,23.18
2019,3,18,23.73
2019,3,19,23.42
2019,3,20,23.02
2019,3,21,23.25
2019,3,22,23.07
2019,3,23,22.29
2019,3,24,22.29
2019,3,25,22.34
2019,3,26,22.62
2019,3,27,23.25
2019,3,28,22.69
2019,3,29,23.28
2019,3,30,22.85
2019,3,31,22.75
2019,4,1,22.47
2019,4,2,23.19
2019,4,3,22.73
2019,4,4,23.72
2019,4,5,22.42
2019,4,6,23.13
2019,4,7,22.26
2019,4,8,22.61
2019,4,9,23.23
2019,4,10,22.22
2019,4,11,22.37
2019,4,12,22.58
2019,4,13,21.9
2019,4,14,21.7
2019,4,15,22.75
2019,4,16,22.65
2019,4,17,22.65
2019,4,18,22.19
2019,4,19,22.02
2019,4,20,22.09
2019,4,21,22.63
2019,4,22,22.19
2019,4,23,22.7
2019,4,24,22.87
2019,4,25,22.85
2019,4,26,22.91
2019,4,27,23.5
2019,4,28,22.72
2019,4,29,22.33
2019,4,30,22.48
2019,5,1,21.53
2019,5,2,22.56
2019,5,3,22.61
2019,5,4,22.46
2019,5,5,22.99
2019,5,6,22.72
