-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 12/31/2021 in LST
Location: latitude  5.1999   longitude 9.2907 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 581.05 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,T2M
2019,1,1,24.02
2019,1,2,23.91
2019,1,3,24.07
2019,1,4,24.6
2019,1,5,23.63
2019,1,6,23.38
2019,1,7,23.57
2019,1,8,23.65
2019,1,9,24.0
2019,1,10,23.93
2019,1,11,24.11
2019,1,12,24.79
2019,1,13,24.44
2019,1,14,24.4
2019,1,15,24.85
2019,1,16,25.36
2019,1,17,25.04
2019,1,18,24.13
2019,1,19,24.28
2019,1,20,23.93
2019,1,21,24.67
2019,1,22,24.76
2019,1,23,23.8
2019,1,24,24.2
2019,1,25,21.75
2019,1,26,23.77
2019,1,27,24.19
2019,1,28,23.6
2019,1,29,23.29
2019,1,30,24.38
2019,1,31,24.34
2019,2,1,25.15
2019,2,2,24.09
2019,2,3,24.51
2019,2,4,24.31
2019,2,5,23.53
2019,2,6,24.07
2019,2,7,25.24
2019,2,8,24.83
2019,2,9,25.22
2019,2,10,25.31
2019,2,11,24.79
2019,2,12,24.74
2019,2,13,24.51
2019,2,14,23.8
2019,2,15,23.9
2019,2,16,24.19
2019,2,17,24.2
2019,2,18,24.36
2019,2,19,24.48
2019,2,20,23.97
2019,2,21,23.6
2019,2,22,23.73
2019,2,23,24.0
2019,2,24,24.18
2019,2,25,24.58
2019,2,26,23.4
2019,2,27,24.14
2019,2,28,23.9
2019,3,1,23.41
2019,3,2,23.43
2019,3,3,24.32
2019,3,4,23.21
2019,3,5,24.19
2019,3,6,24.06
2019,3,7,23.71
2019,3,8,24.18
2019,3,9,23.87
2019,3,10,23.86
2019,3,11,24.14
2019,3,12,24.77
2019,3,13,24.42
2019,3,14,24.27
2019,3,15,24.96
2019,3,16,25.02
2019,3,17,24.54
2019,3,18,24.89
2019,3,19,24.54
2019,3,20,24.1
2019,3,21,24.4
2019,3,22,24.18
2019,3,23,24.22
2019,3,24,24.27
2019,3,25,23.94
2019,3,26,24.35
2019,3,27,25.44
2019,3,28,25.28
2019,3,29,24.9
2019,3,30,24.44
2019,3,31,24.22
2019,4,1,25.19
2019,4,2,25.61
2019,4,3,25.25
2019,4,4,25.21
2019,4,5,24.86
2019,4,6,24.42
2019,4,7,24.37
2019,4,8,24.24
2019,4,9,24.87
2019,4,10,24.5
2019,4,11,24.05
2019,4,12,24.49
2019,4,13,23.81
2019,4,14,23.7
2019,4,15,25.16
2019,4,16,24.05
2019,4,17,25.61
2019,4,18,24.64
2019,4,19,24.87
2019,4,20,24.78
2019,4,21,24.85
2019,4,22,24.46
2019,4,23,24.87
2019,4,24,25.51
2019,4,25,24.77
