"","Region","Date","Age_group","Cases"
"1","Region Adamaoua",2019-01-01,"Age_L5",3165
"2","Region Adamaoua",2019-02-01,"Age_L5",2201
"3","Region Adamaoua",2019-03-01,"Age_L5",2664
"4","Region Adamaoua",2019-04-01,"Age_L5",3400
"5","Region Adamaoua",2019-05-01,"Age_L5",4224
"6","Region Adamaoua",2019-06-01,"Age_L5",3466
"7","Region Adamaoua",2019-07-01,"Age_L5",3553
"8","Region Adamaoua",2019-08-01,"Age_L5",3482
"9","Region Adamaoua",2019-09-01,"Age_L5",3140
"10","Region Adamaoua",2019-10-01,"Age_L5",3522
"11","Region Adamaoua",2019-11-01,"Age_L5",2721
"12","Region Adamaoua",2019-12-01,"Age_L5",2245
"13","Region Adamaoua",2020-01-01,"Age_L5",2071
"14","Region Adamaoua",2020-02-01,"Age_L5",2237
"15","Region Adamaoua",2020-03-01,"Age_L5",2264
"16","Region Adamaoua",2020-04-01,"Age_L5",2425
"17","Region Adamaoua",2020-05-01,"Age_L5",3259
"18","Region Adamaoua",2020-06-01,"Age_L5",2770
"19","Region Adamaoua",2020-07-01,"Age_L5",2357
"20","Region Adamaoua",2020-08-01,"Age_L5",2493
"21","Region Adamaoua",2020-09-01,"Age_L5",3181
"22","Region Adamaoua",2020-10-01,"Age_L5",3500
"23","Region Adamaoua",2020-11-01,"Age_L5",3334
"24","Region Adamaoua",2020-12-01,"Age_L5",2371
"25","Region Adamaoua",2021-01-01,"Age_L5",2480
"26","Region Adamaoua",2021-02-01,"Age_L5",2895
"27","Region Adamaoua",2021-03-01,"Age_L5",2548
"28","Region Adamaoua",2021-04-01,"Age_L5",3014
"29","Region Adamaoua",2021-05-01,"Age_L5",3327
"30","Region Adamaoua",2021-06-01,"Age_L5",3564
"31","Region Adamaoua",2021-07-01,"Age_L5",3147
"32","Region Adamaoua",2021-08-01,"Age_L5",2902
"33","Region Adamaoua",2021-09-01,"Age_L5",3278
"34","Region Adamaoua",2021-10-01,"Age_L5",4362
"35","Region Adamaoua",2021-11-01,"Age_L5",3790
"36","Region Adamaoua",2021-12-01,"Age_L5",3522
"37","Region Adamaoua",2019-01-01,"Age_G5",4150
"38","Region Adamaoua",2019-02-01,"Age_G5",3530
"39","Region Adamaoua",2019-03-01,"Age_G5",4216
"40","Region Adamaoua",2019-04-01,"Age_G5",5425
"41","Region Adamaoua",2019-05-01,"Age_G5",6406
"42","Region Adamaoua",2019-06-01,"Age_G5",5483
"43","Region Adamaoua",2019-07-01,"Age_G5",5272
"44","Region Adamaoua",2019-08-01,"Age_G5",6520
"45","Region Adamaoua",2019-09-01,"Age_G5",5780
"46","Region Adamaoua",2019-10-01,"Age_G5",6875
"47","Region Adamaoua",2019-11-01,"Age_G5",5254
"48","Region Adamaoua",2019-12-01,"Age_G5",4319
"49","Region Adamaoua",2020-01-01,"Age_G5",3420
"50","Region Adamaoua",2020-02-01,"Age_G5",3395
"51","Region Adamaoua",2020-03-01,"Age_G5",3904
"52","Region Adamaoua",2020-04-01,"Age_G5",4319
"53","Region Adamaoua",2020-05-01,"Age_G5",5573
"54","Region Adamaoua",2020-06-01,"Age_G5",5025
"55","Region Adamaoua",2020-07-01,"Age_G5",4700
"56","Region Adamaoua",2020-08-01,"Age_G5",4439
"57","Region Adamaoua",2020-09-01,"Age_G5",5576
"58","Region Adamaoua",2020-10-01,"Age_G5",6122
"59","Region Adamaoua",2020-11-01,"Age_G5",5935
"60","Region Adamaoua",2020-12-01,"Age_G5",4840
"61","Region Adamaoua",2021-01-01,"Age_G5",4773
"62","Region Adamaoua",2021-02-01,"Age_G5",5616
"63","Region Adamaoua",2021-03-01,"Age_G5",5217
"64","Region Adamaoua",2021-04-01,"Age_G5",5723
"65","Region Adamaoua",2021-05-01,"Age_G5",5764
"66","Region Adamaoua",2021-06-01,"Age_G5",6113
"67","Region Adamaoua",2021-07-01,"Age_G5",6225
"68","Region Adamaoua",2021-08-01,"Age_G5",6084
"69","Region Adamaoua",2021-09-01,"Age_G5",7316
"70","Region Adamaoua",2021-10-01,"Age_G5",8748
"71","Region Adamaoua",2021-11-01,"Age_G5",7571
"72","Region Adamaoua",2021-12-01,"Age_G5",7146
