"","Region","Date","Age_group","Cases"
"1","Region Centre",2019-01-01,"Age_L5",8098
"2","Region Centre",2019-02-01,"Age_L5",9066
"3","Region Centre",2019-03-01,"Age_L5",9019
"4","Region Centre",2019-04-01,"Age_L5",9360
"5","Region Centre",2019-05-01,"Age_L5",9818
"6","Region Centre",2019-06-01,"Age_L5",8222
"7","Region Centre",2019-07-01,"Age_L5",7254
"8","Region Centre",2019-08-01,"Age_L5",6661
"9","Region Centre",2019-09-01,"Age_L5",7650
"10","Region Centre",2019-10-01,"Age_L5",8619
"11","Region Centre",2019-11-01,"Age_L5",8720
"12","Region Centre",2019-12-01,"Age_L5",8707
"13","Region Centre",2020-01-01,"Age_L5",8441
"14","Region Centre",2020-02-01,"Age_L5",8071
"15","Region Centre",2020-03-01,"Age_L5",8225
"16","Region Centre",2020-04-01,"Age_L5",7634
"17","Region Centre",2020-05-01,"Age_L5",7778
"18","Region Centre",2020-06-01,"Age_L5",7630
"19","Region Centre",2020-07-01,"Age_L5",6045
"20","Region Centre",2020-08-01,"Age_L5",5224
"21","Region Centre",2020-09-01,"Age_L5",5032
"22","Region Centre",2020-10-01,"Age_L5",5929
"23","Region Centre",2020-11-01,"Age_L5",7258
"24","Region Centre",2020-12-01,"Age_L5",7607
"25","Region Centre",2021-01-01,"Age_L5",9086
"26","Region Centre",2021-02-01,"Age_L5",8805
"27","Region Centre",2021-03-01,"Age_L5",9421
"28","Region Centre",2021-04-01,"Age_L5",9788
"29","Region Centre",2021-05-01,"Age_L5",8809
"30","Region Centre",2021-06-01,"Age_L5",8845
"31","Region Centre",2021-07-01,"Age_L5",7894
"32","Region Centre",2021-08-01,"Age_L5",7029
"33","Region Centre",2021-09-01,"Age_L5",7447
"34","Region Centre",2021-10-01,"Age_L5",8871
"35","Region Centre",2021-11-01,"Age_L5",8119
"36","Region Centre",2021-12-01,"Age_L5",7560
"37","Region Centre",2019-01-01,"Age_G5",19327
"38","Region Centre",2019-02-01,"Age_G5",18854
"39","Region Centre",2019-03-01,"Age_G5",20429
"40","Region Centre",2019-04-01,"Age_G5",20258
"41","Region Centre",2019-05-01,"Age_G5",21936
"42","Region Centre",2019-06-01,"Age_G5",18956
"43","Region Centre",2019-07-01,"Age_G5",17492
"44","Region Centre",2019-08-01,"Age_G5",15041
"45","Region Centre",2019-09-01,"Age_G5",18774
"46","Region Centre",2019-10-01,"Age_G5",16768
"47","Region Centre",2019-11-01,"Age_G5",17404
"48","Region Centre",2019-12-01,"Age_G5",17125
"49","Region Centre",2020-01-01,"Age_G5",18949
"50","Region Centre",2020-02-01,"Age_G5",17146
"51","Region Centre",2020-03-01,"Age_G5",17627
"52","Region Centre",2020-04-01,"Age_G5",18638
"53","Region Centre",2020-05-01,"Age_G5",22155
"54","Region Centre",2020-06-01,"Age_G5",20567
"55","Region Centre",2020-07-01,"Age_G5",15705
"56","Region Centre",2020-08-01,"Age_G5",13982
"57","Region Centre",2020-09-01,"Age_G5",13293
"58","Region Centre",2020-10-01,"Age_G5",14020
"59","Region Centre",2020-11-01,"Age_G5",16681
"60","Region Centre",2020-12-01,"Age_G5",17131
"61","Region Centre",2021-01-01,"Age_G5",22594
"62","Region Centre",2021-02-01,"Age_G5",20248
"63","Region Centre",2021-03-01,"Age_G5",23233
"64","Region Centre",2021-04-01,"Age_G5",24059
"65","Region Centre",2021-05-01,"Age_G5",22447
"66","Region Centre",2021-06-01,"Age_G5",20588
"67","Region Centre",2021-07-01,"Age_G5",20260
"68","Region Centre",2021-08-01,"Age_G5",18592
"69","Region Centre",2021-09-01,"Age_G5",20332
"70","Region Centre",2021-10-01,"Age_G5",21627
"71","Region Centre",2021-11-01,"Age_G5",19161
"72","Region Centre",2021-12-01,"Age_G5",18872
