"","Region","Date","Age_group","Cases"
"1","Region Est",2019-01-01,"Age_L5",3222
"2","Region Est",2019-02-01,"Age_L5",3401
"3","Region Est",2019-03-01,"Age_L5",4105
"4","Region Est",2019-04-01,"Age_L5",4577
"5","Region Est",2019-05-01,"Age_L5",5877
"6","Region Est",2019-06-01,"Age_L5",4788
"7","Region Est",2019-07-01,"Age_L5",4150
"8","Region Est",2019-08-01,"Age_L5",3309
"9","Region Est",2019-09-01,"Age_L5",3054
"10","Region Est",2019-10-01,"Age_L5",4047
"11","Region Est",2019-11-01,"Age_L5",2862
"12","Region Est",2019-12-01,"Age_L5",3101
"13","Region Est",2020-01-01,"Age_L5",3175
"14","Region Est",2020-02-01,"Age_L5",3114
"15","Region Est",2020-03-01,"Age_L5",3216
"16","Region Est",2020-04-01,"Age_L5",3868
"17","Region Est",2020-05-01,"Age_L5",4394
"18","Region Est",2020-06-01,"Age_L5",4059
"19","Region Est",2020-07-01,"Age_L5",4168
"20","Region Est",2020-08-01,"Age_L5",3419
"21","Region Est",2020-09-01,"Age_L5",3569
"22","Region Est",2020-10-01,"Age_L5",3768
"23","Region Est",2020-11-01,"Age_L5",4301
"24","Region Est",2020-12-01,"Age_L5",3747
"25","Region Est",2021-01-01,"Age_L5",3627
"26","Region Est",2021-02-01,"Age_L5",3755
"27","Region Est",2021-03-01,"Age_L5",4160
"28","Region Est",2021-04-01,"Age_L5",4826
"29","Region Est",2021-05-01,"Age_L5",5290
"30","Region Est",2021-06-01,"Age_L5",5602
"31","Region Est",2021-07-01,"Age_L5",5275
"32","Region Est",2021-08-01,"Age_L5",4609
"33","Region Est",2021-09-01,"Age_L5",4443
"34","Region Est",2021-10-01,"Age_L5",4901
"35","Region Est",2021-11-01,"Age_L5",4848
"36","Region Est",2021-12-01,"Age_L5",4463
"37","Region Est",2019-01-01,"Age_G5",4611
"38","Region Est",2019-02-01,"Age_G5",4511
"39","Region Est",2019-03-01,"Age_G5",5082
"40","Region Est",2019-04-01,"Age_G5",5797
"41","Region Est",2019-05-01,"Age_G5",6424
"42","Region Est",2019-06-01,"Age_G5",5313
"43","Region Est",2019-07-01,"Age_G5",4924
"44","Region Est",2019-08-01,"Age_G5",4388
"45","Region Est",2019-09-01,"Age_G5",3918
"46","Region Est",2019-10-01,"Age_G5",4964
"47","Region Est",2019-11-01,"Age_G5",4189
"48","Region Est",2019-12-01,"Age_G5",4063
"49","Region Est",2020-01-01,"Age_G5",4167
"50","Region Est",2020-02-01,"Age_G5",4399
"51","Region Est",2020-03-01,"Age_G5",4645
"52","Region Est",2020-04-01,"Age_G5",5609
"53","Region Est",2020-05-01,"Age_G5",6275
"54","Region Est",2020-06-01,"Age_G5",6330
"55","Region Est",2020-07-01,"Age_G5",5989
"56","Region Est",2020-08-01,"Age_G5",5253
"57","Region Est",2020-09-01,"Age_G5",5290
"58","Region Est",2020-10-01,"Age_G5",5627
"59","Region Est",2020-11-01,"Age_G5",6203
"60","Region Est",2020-12-01,"Age_G5",5958
"61","Region Est",2021-01-01,"Age_G5",6035
"62","Region Est",2021-02-01,"Age_G5",6054
"63","Region Est",2021-03-01,"Age_G5",6546
"64","Region Est",2021-04-01,"Age_G5",7123
"65","Region Est",2021-05-01,"Age_G5",7463
"66","Region Est",2021-06-01,"Age_G5",8051
"67","Region Est",2021-07-01,"Age_G5",7527
"68","Region Est",2021-08-01,"Age_G5",6898
"69","Region Est",2021-09-01,"Age_G5",7037
"70","Region Est",2021-10-01,"Age_G5",7824
"71","Region Est",2021-11-01,"Age_G5",7348
"72","Region Est",2021-12-01,"Age_G5",6560
