"","Region","Date","Age_group","Cases"
"1","Region Extreme Nord",2019-01-01,"Age_L5",5274
"2","Region Extreme Nord",2019-02-01,"Age_L5",3983
"3","Region Extreme Nord",2019-03-01,"Age_L5",4339
"4","Region Extreme Nord",2019-04-01,"Age_L5",3813
"5","Region Extreme Nord",2019-05-01,"Age_L5",2945
"6","Region Extreme Nord",2019-06-01,"Age_L5",3419
"7","Region Extreme Nord",2019-07-01,"Age_L5",6028
"8","Region Extreme Nord",2019-08-01,"Age_L5",11685
"9","Region Extreme Nord",2019-09-01,"Age_L5",14621
"10","Region Extreme Nord",2019-10-01,"Age_L5",17792
"11","Region Extreme Nord",2019-11-01,"Age_L5",15750
"12","Region Extreme Nord",2019-12-01,"Age_L5",12104
"13","Region Extreme Nord",2020-01-01,"Age_L5",8479
"14","Region Extreme Nord",2020-02-01,"Age_L5",5495
"15","Region Extreme Nord",2020-03-01,"Age_L5",4859
"16","Region Extreme Nord",2020-04-01,"Age_L5",4183
"17","Region Extreme Nord",2020-05-01,"Age_L5",3190
"18","Region Extreme Nord",2020-06-01,"Age_L5",3219
"19","Region Extreme Nord",2020-07-01,"Age_L5",5353
"20","Region Extreme Nord",2020-08-01,"Age_L5",12121
"21","Region Extreme Nord",2020-09-01,"Age_L5",13761
"22","Region Extreme Nord",2020-10-01,"Age_L5",17634
"23","Region Extreme Nord",2020-11-01,"Age_L5",15700
"24","Region Extreme Nord",2020-12-01,"Age_L5",13904
"25","Region Extreme Nord",2021-01-01,"Age_L5",12526
"26","Region Extreme Nord",2021-02-01,"Age_L5",8755
"27","Region Extreme Nord",2021-03-01,"Age_L5",6933
"28","Region Extreme Nord",2021-04-01,"Age_L5",4762
"29","Region Extreme Nord",2021-05-01,"Age_L5",4590
"30","Region Extreme Nord",2021-06-01,"Age_L5",4023
"31","Region Extreme Nord",2021-07-01,"Age_L5",7666
"32","Region Extreme Nord",2021-08-01,"Age_L5",17357
"33","Region Extreme Nord",2021-09-01,"Age_L5",20643
"34","Region Extreme Nord",2021-10-01,"Age_L5",19314
"35","Region Extreme Nord",2021-11-01,"Age_L5",12959
"36","Region Extreme Nord",2021-12-01,"Age_L5",9082
"37","Region Extreme Nord",2019-01-01,"Age_G5",8361
"38","Region Extreme Nord",2019-02-01,"Age_G5",6025
"39","Region Extreme Nord",2019-03-01,"Age_G5",6259
"40","Region Extreme Nord",2019-04-01,"Age_G5",5998
"41","Region Extreme Nord",2019-05-01,"Age_G5",4956
"42","Region Extreme Nord",2019-06-01,"Age_G5",5439
"43","Region Extreme Nord",2019-07-01,"Age_G5",10992
"44","Region Extreme Nord",2019-08-01,"Age_G5",18856
"45","Region Extreme Nord",2019-09-01,"Age_G5",23937
"46","Region Extreme Nord",2019-10-01,"Age_G5",26300
"47","Region Extreme Nord",2019-11-01,"Age_G5",23572
"48","Region Extreme Nord",2019-12-01,"Age_G5",18001
"49","Region Extreme Nord",2020-01-01,"Age_G5",12937
"50","Region Extreme Nord",2020-02-01,"Age_G5",8409
"51","Region Extreme Nord",2020-03-01,"Age_G5",7548
"52","Region Extreme Nord",2020-04-01,"Age_G5",6581
"53","Region Extreme Nord",2020-05-01,"Age_G5",5828
"54","Region Extreme Nord",2020-06-01,"Age_G5",5872
"55","Region Extreme Nord",2020-07-01,"Age_G5",12314
"56","Region Extreme Nord",2020-08-01,"Age_G5",22956
"57","Region Extreme Nord",2020-09-01,"Age_G5",24773
"58","Region Extreme Nord",2020-10-01,"Age_G5",29680
"59","Region Extreme Nord",2020-11-01,"Age_G5",23512
"60","Region Extreme Nord",2020-12-01,"Age_G5",21923
"61","Region Extreme Nord",2021-01-01,"Age_G5",19654
"62","Region Extreme Nord",2021-02-01,"Age_G5",14320
"63","Region Extreme Nord",2021-03-01,"Age_G5",12090
"64","Region Extreme Nord",2021-04-01,"Age_G5",8503
"65","Region Extreme Nord",2021-05-01,"Age_G5",7537
"66","Region Extreme Nord",2021-06-01,"Age_G5",7915
"67","Region Extreme Nord",2021-07-01,"Age_G5",16332
"68","Region Extreme Nord",2021-08-01,"Age_G5",29991
"69","Region Extreme Nord",2021-09-01,"Age_G5",31641
"70","Region Extreme Nord",2021-10-01,"Age_G5",31438
"71","Region Extreme Nord",2021-11-01,"Age_G5",21927
"72","Region Extreme Nord",2021-12-01,"Age_G5",15085
