"","Region","Date","Age_group","Cases"
"1","Region Littoral",2019-01-01,"Age_L5",4647
"2","Region Littoral",2019-02-01,"Age_L5",4483
"3","Region Littoral",2019-03-01,"Age_L5",4743
"4","Region Littoral",2019-04-01,"Age_L5",5166
"5","Region Littoral",2019-05-01,"Age_L5",4778
"6","Region Littoral",2019-06-01,"Age_L5",3861
"7","Region Littoral",2019-07-01,"Age_L5",4137
"8","Region Littoral",2019-08-01,"Age_L5",3410
"9","Region Littoral",2019-09-01,"Age_L5",3767
"10","Region Littoral",2019-10-01,"Age_L5",3922
"11","Region Littoral",2019-11-01,"Age_L5",3322
"12","Region Littoral",2019-12-01,"Age_L5",3613
"13","Region Littoral",2020-01-01,"Age_L5",4161
"14","Region Littoral",2020-02-01,"Age_L5",3900
"15","Region Littoral",2020-03-01,"Age_L5",4064
"16","Region Littoral",2020-04-01,"Age_L5",2751
"17","Region Littoral",2020-05-01,"Age_L5",3258
"18","Region Littoral",2020-06-01,"Age_L5",2994
"19","Region Littoral",2020-07-01,"Age_L5",3274
"20","Region Littoral",2020-08-01,"Age_L5",3023
"21","Region Littoral",2020-09-01,"Age_L5",2794
"22","Region Littoral",2020-10-01,"Age_L5",2832
"23","Region Littoral",2020-11-01,"Age_L5",3183
"24","Region Littoral",2020-12-01,"Age_L5",3695
"25","Region Littoral",2021-01-01,"Age_L5",4199
"26","Region Littoral",2021-02-01,"Age_L5",4347
"27","Region Littoral",2021-03-01,"Age_L5",3285
"28","Region Littoral",2021-04-01,"Age_L5",3699
"29","Region Littoral",2021-05-01,"Age_L5",3715
"30","Region Littoral",2021-06-01,"Age_L5",3502
"31","Region Littoral",2021-07-01,"Age_L5",3391
"32","Region Littoral",2021-08-01,"Age_L5",3444
"33","Region Littoral",2021-09-01,"Age_L5",4249
"34","Region Littoral",2021-10-01,"Age_L5",4311
"35","Region Littoral",2021-11-01,"Age_L5",4185
"36","Region Littoral",2021-12-01,"Age_L5",4317
"37","Region Littoral",2019-01-01,"Age_G5",10252
"38","Region Littoral",2019-02-01,"Age_G5",9427
"39","Region Littoral",2019-03-01,"Age_G5",10390
"40","Region Littoral",2019-04-01,"Age_G5",12684
"41","Region Littoral",2019-05-01,"Age_G5",12615
"42","Region Littoral",2019-06-01,"Age_G5",11658
"43","Region Littoral",2019-07-01,"Age_G5",12485
"44","Region Littoral",2019-08-01,"Age_G5",10358
"45","Region Littoral",2019-09-01,"Age_G5",11108
"46","Region Littoral",2019-10-01,"Age_G5",10289
"47","Region Littoral",2019-11-01,"Age_G5",7886
"48","Region Littoral",2019-12-01,"Age_G5",7375
"49","Region Littoral",2020-01-01,"Age_G5",9946
"50","Region Littoral",2020-02-01,"Age_G5",8814
"51","Region Littoral",2020-03-01,"Age_G5",9671
"52","Region Littoral",2020-04-01,"Age_G5",9513
"53","Region Littoral",2020-05-01,"Age_G5",10303
"54","Region Littoral",2020-06-01,"Age_G5",10994
"55","Region Littoral",2020-07-01,"Age_G5",11204
"56","Region Littoral",2020-08-01,"Age_G5",9764
"57","Region Littoral",2020-09-01,"Age_G5",9969
"58","Region Littoral",2020-10-01,"Age_G5",8539
"59","Region Littoral",2020-11-01,"Age_G5",8607
"60","Region Littoral",2020-12-01,"Age_G5",9203
"61","Region Littoral",2021-01-01,"Age_G5",10691
"62","Region Littoral",2021-02-01,"Age_G5",10620
"63","Region Littoral",2021-03-01,"Age_G5",10116
"64","Region Littoral",2021-04-01,"Age_G5",11739
"65","Region Littoral",2021-05-01,"Age_G5",11906
"66","Region Littoral",2021-06-01,"Age_G5",11543
"67","Region Littoral",2021-07-01,"Age_G5",11008
"68","Region Littoral",2021-08-01,"Age_G5",13061
"69","Region Littoral",2021-09-01,"Age_G5",14366
"70","Region Littoral",2021-10-01,"Age_G5",12897
"71","Region Littoral",2021-11-01,"Age_G5",11288
"72","Region Littoral",2021-12-01,"Age_G5",12299
