"","Region","Date","Age_group","Cases"
"1","Region Nord",2019-01-01,"Age_L5",4108
"2","Region Nord",2019-02-01,"Age_L5",3097
"3","Region Nord",2019-03-01,"Age_L5",3388
"4","Region Nord",2019-04-01,"Age_L5",2559
"5","Region Nord",2019-05-01,"Age_L5",2688
"6","Region Nord",2019-06-01,"Age_L5",3689
"7","Region Nord",2019-07-01,"Age_L5",3732
"8","Region Nord",2019-08-01,"Age_L5",4579
"9","Region Nord",2019-09-01,"Age_L5",5201
"10","Region Nord",2019-10-01,"Age_L5",6989
"11","Region Nord",2019-11-01,"Age_L5",6457
"12","Region Nord",2019-12-01,"Age_L5",4308
"13","Region Nord",2020-01-01,"Age_L5",3863
"14","Region Nord",2020-02-01,"Age_L5",3628
"15","Region Nord",2020-03-01,"Age_L5",3507
"16","Region Nord",2020-04-01,"Age_L5",2813
"17","Region Nord",2020-05-01,"Age_L5",2368
"18","Region Nord",2020-06-01,"Age_L5",2678
"19","Region Nord",2020-07-01,"Age_L5",4133
"20","Region Nord",2020-08-01,"Age_L5",4979
"21","Region Nord",2020-09-01,"Age_L5",5618
"22","Region Nord",2020-10-01,"Age_L5",6646
"23","Region Nord",2020-11-01,"Age_L5",5507
"24","Region Nord",2020-12-01,"Age_L5",4579
"25","Region Nord",2021-01-01,"Age_L5",5351
"26","Region Nord",2021-02-01,"Age_L5",4484
"27","Region Nord",2021-03-01,"Age_L5",3630
"28","Region Nord",2021-04-01,"Age_L5",3097
"29","Region Nord",2021-05-01,"Age_L5",3033
"30","Region Nord",2021-06-01,"Age_L5",3633
"31","Region Nord",2021-07-01,"Age_L5",5003
"32","Region Nord",2021-08-01,"Age_L5",5741
"33","Region Nord",2021-09-01,"Age_L5",6058
"34","Region Nord",2021-10-01,"Age_L5",8463
"35","Region Nord",2021-11-01,"Age_L5",6197
"36","Region Nord",2021-12-01,"Age_L5",4470
"37","Region Nord",2019-01-01,"Age_G5",5860
"38","Region Nord",2019-02-01,"Age_G5",5075
"39","Region Nord",2019-03-01,"Age_G5",5149
"40","Region Nord",2019-04-01,"Age_G5",3867
"41","Region Nord",2019-05-01,"Age_G5",4057
"42","Region Nord",2019-06-01,"Age_G5",5041
"43","Region Nord",2019-07-01,"Age_G5",6480
"44","Region Nord",2019-08-01,"Age_G5",8257
"45","Region Nord",2019-09-01,"Age_G5",8524
"46","Region Nord",2019-10-01,"Age_G5",12165
"47","Region Nord",2019-11-01,"Age_G5",9392
"48","Region Nord",2019-12-01,"Age_G5",7466
"49","Region Nord",2020-01-01,"Age_G5",6331
"50","Region Nord",2020-02-01,"Age_G5",5376
"51","Region Nord",2020-03-01,"Age_G5",5103
"52","Region Nord",2020-04-01,"Age_G5",4138
"53","Region Nord",2020-05-01,"Age_G5",4169
"54","Region Nord",2020-06-01,"Age_G5",4357
"55","Region Nord",2020-07-01,"Age_G5",7602
"56","Region Nord",2020-08-01,"Age_G5",8987
"57","Region Nord",2020-09-01,"Age_G5",9982
"58","Region Nord",2020-10-01,"Age_G5",10771
"59","Region Nord",2020-11-01,"Age_G5",9608
"60","Region Nord",2020-12-01,"Age_G5",7494
"61","Region Nord",2021-01-01,"Age_G5",8499
"62","Region Nord",2021-02-01,"Age_G5",7505
"63","Region Nord",2021-03-01,"Age_G5",5683
"64","Region Nord",2021-04-01,"Age_G5",5375
"65","Region Nord",2021-05-01,"Age_G5",5395
"66","Region Nord",2021-06-01,"Age_G5",6213
"67","Region Nord",2021-07-01,"Age_G5",9530
"68","Region Nord",2021-08-01,"Age_G5",11056
"69","Region Nord",2021-09-01,"Age_G5",12736
"70","Region Nord",2021-10-01,"Age_G5",14806
"71","Region Nord",2021-11-01,"Age_G5",11081
"72","Region Nord",2021-12-01,"Age_G5",9391
