"","Region","Date","Age_group","Cases"
"1","Region Nord Ouest",2019-01-01,"Age_L5",1363
"2","Region Nord Ouest",2019-02-01,"Age_L5",1055
"3","Region Nord Ouest",2019-03-01,"Age_L5",1261
"4","Region Nord Ouest",2019-04-01,"Age_L5",1801
"5","Region Nord Ouest",2019-05-01,"Age_L5",1829
"6","Region Nord Ouest",2019-06-01,"Age_L5",1821
"7","Region Nord Ouest",2019-07-01,"Age_L5",1772
"8","Region Nord Ouest",2019-08-01,"Age_L5",1563
"9","Region Nord Ouest",2019-09-01,"Age_L5",1129
"10","Region Nord Ouest",2019-10-01,"Age_L5",1195
"11","Region Nord Ouest",2019-11-01,"Age_L5",1389
"12","Region Nord Ouest",2019-12-01,"Age_L5",2433
"13","Region Nord Ouest",2020-01-01,"Age_L5",1872
"14","Region Nord Ouest",2020-02-01,"Age_L5",1369
"15","Region Nord Ouest",2020-03-01,"Age_L5",1654
"16","Region Nord Ouest",2020-04-01,"Age_L5",1752
"17","Region Nord Ouest",2020-05-01,"Age_L5",2105
"18","Region Nord Ouest",2020-06-01,"Age_L5",1938
"19","Region Nord Ouest",2020-07-01,"Age_L5",1655
"20","Region Nord Ouest",2020-08-01,"Age_L5",1279
"21","Region Nord Ouest",2020-09-01,"Age_L5",1284
"22","Region Nord Ouest",2020-10-01,"Age_L5",1198
"23","Region Nord Ouest",2020-11-01,"Age_L5",1417
"24","Region Nord Ouest",2020-12-01,"Age_L5",1460
"25","Region Nord Ouest",2021-01-01,"Age_L5",1224
"26","Region Nord Ouest",2021-02-01,"Age_L5",1346
"27","Region Nord Ouest",2021-03-01,"Age_L5",1309
"28","Region Nord Ouest",2021-04-01,"Age_L5",1482
"29","Region Nord Ouest",2021-05-01,"Age_L5",1620
"30","Region Nord Ouest",2021-06-01,"Age_L5",1714
"31","Region Nord Ouest",2021-07-01,"Age_L5",1597
"32","Region Nord Ouest",2021-08-01,"Age_L5",1642
"33","Region Nord Ouest",2021-09-01,"Age_L5",1412
"34","Region Nord Ouest",2021-10-01,"Age_L5",1283
"35","Region Nord Ouest",2021-11-01,"Age_L5",1412
"36","Region Nord Ouest",2021-12-01,"Age_L5",1436
"37","Region Nord Ouest",2019-01-01,"Age_G5",3894
"38","Region Nord Ouest",2019-02-01,"Age_G5",3163
"39","Region Nord Ouest",2019-03-01,"Age_G5",4305
"40","Region Nord Ouest",2019-04-01,"Age_G5",5361
"41","Region Nord Ouest",2019-05-01,"Age_G5",5981
"42","Region Nord Ouest",2019-06-01,"Age_G5",6005
"43","Region Nord Ouest",2019-07-01,"Age_G5",5285
"44","Region Nord Ouest",2019-08-01,"Age_G5",4862
"45","Region Nord Ouest",2019-09-01,"Age_G5",3221
"46","Region Nord Ouest",2019-10-01,"Age_G5",3089
"47","Region Nord Ouest",2019-11-01,"Age_G5",3729
"48","Region Nord Ouest",2019-12-01,"Age_G5",6583
"49","Region Nord Ouest",2020-01-01,"Age_G5",5260
"50","Region Nord Ouest",2020-02-01,"Age_G5",3814
"51","Region Nord Ouest",2020-03-01,"Age_G5",4557
"52","Region Nord Ouest",2020-04-01,"Age_G5",6979
"53","Region Nord Ouest",2020-05-01,"Age_G5",8208
"54","Region Nord Ouest",2020-06-01,"Age_G5",7455
"55","Region Nord Ouest",2020-07-01,"Age_G5",6108
"56","Region Nord Ouest",2020-08-01,"Age_G5",4593
"57","Region Nord Ouest",2020-09-01,"Age_G5",4891
"58","Region Nord Ouest",2020-10-01,"Age_G5",4059
"59","Region Nord Ouest",2020-11-01,"Age_G5",4964
"60","Region Nord Ouest",2020-12-01,"Age_G5",5140
"61","Region Nord Ouest",2021-01-01,"Age_G5",4683
"62","Region Nord Ouest",2021-02-01,"Age_G5",4045
"63","Region Nord Ouest",2021-03-01,"Age_G5",4487
"64","Region Nord Ouest",2021-04-01,"Age_G5",5452
"65","Region Nord Ouest",2021-05-01,"Age_G5",6014
"66","Region Nord Ouest",2021-06-01,"Age_G5",6134
"67","Region Nord Ouest",2021-07-01,"Age_G5",5593
"68","Region Nord Ouest",2021-08-01,"Age_G5",5314
"69","Region Nord Ouest",2021-09-01,"Age_G5",4959
"70","Region Nord Ouest",2021-10-01,"Age_G5",4625
"71","Region Nord Ouest",2021-11-01,"Age_G5",4575
"72","Region Nord Ouest",2021-12-01,"Age_G5",5247
