"","Region","Date","Age_group","Cases"
"1","Region Ouest",2019-01-01,"Age_L5",1657
"2","Region Ouest",2019-02-01,"Age_L5",1935
"3","Region Ouest",2019-03-01,"Age_L5",2589
"4","Region Ouest",2019-04-01,"Age_L5",3177
"5","Region Ouest",2019-05-01,"Age_L5",2906
"6","Region Ouest",2019-06-01,"Age_L5",2995
"7","Region Ouest",2019-07-01,"Age_L5",2497
"8","Region Ouest",2019-08-01,"Age_L5",1992
"9","Region Ouest",2019-09-01,"Age_L5",1755
"10","Region Ouest",2019-10-01,"Age_L5",2347
"11","Region Ouest",2019-11-01,"Age_L5",1776
"12","Region Ouest",2019-12-01,"Age_L5",1723
"13","Region Ouest",2020-01-01,"Age_L5",1869
"14","Region Ouest",2020-02-01,"Age_L5",1759
"15","Region Ouest",2020-03-01,"Age_L5",2009
"16","Region Ouest",2020-04-01,"Age_L5",2134
"17","Region Ouest",2020-05-01,"Age_L5",2196
"18","Region Ouest",2020-06-01,"Age_L5",2341
"19","Region Ouest",2020-07-01,"Age_L5",1838
"20","Region Ouest",2020-08-01,"Age_L5",1600
"21","Region Ouest",2020-09-01,"Age_L5",1447
"22","Region Ouest",2020-10-01,"Age_L5",1435
"23","Region Ouest",2020-11-01,"Age_L5",1720
"24","Region Ouest",2020-12-01,"Age_L5",1797
"25","Region Ouest",2021-01-01,"Age_L5",1901
"26","Region Ouest",2021-02-01,"Age_L5",1916
"27","Region Ouest",2021-03-01,"Age_L5",1929
"28","Region Ouest",2021-04-01,"Age_L5",1992
"29","Region Ouest",2021-05-01,"Age_L5",2119
"30","Region Ouest",2021-06-01,"Age_L5",2380
"31","Region Ouest",2021-07-01,"Age_L5",2304
"32","Region Ouest",2021-08-01,"Age_L5",1942
"33","Region Ouest",2021-09-01,"Age_L5",1955
"34","Region Ouest",2021-10-01,"Age_L5",2126
"35","Region Ouest",2021-11-01,"Age_L5",1938
"36","Region Ouest",2021-12-01,"Age_L5",1874
"37","Region Ouest",2019-01-01,"Age_G5",3504
"38","Region Ouest",2019-02-01,"Age_G5",3556
"39","Region Ouest",2019-03-01,"Age_G5",4839
"40","Region Ouest",2019-04-01,"Age_G5",6009
"41","Region Ouest",2019-05-01,"Age_G5",6377
"42","Region Ouest",2019-06-01,"Age_G5",6244
"43","Region Ouest",2019-07-01,"Age_G5",6236
"44","Region Ouest",2019-08-01,"Age_G5",4897
"45","Region Ouest",2019-09-01,"Age_G5",4368
"46","Region Ouest",2019-10-01,"Age_G5",4572
"47","Region Ouest",2019-11-01,"Age_G5",3580
"48","Region Ouest",2019-12-01,"Age_G5",3857
"49","Region Ouest",2020-01-01,"Age_G5",4588
"50","Region Ouest",2020-02-01,"Age_G5",4016
"51","Region Ouest",2020-03-01,"Age_G5",4445
"52","Region Ouest",2020-04-01,"Age_G5",5109
"53","Region Ouest",2020-05-01,"Age_G5",6220
"54","Region Ouest",2020-06-01,"Age_G5",6065
"55","Region Ouest",2020-07-01,"Age_G5",5359
"56","Region Ouest",2020-08-01,"Age_G5",4419
"57","Region Ouest",2020-09-01,"Age_G5",4104
"58","Region Ouest",2020-10-01,"Age_G5",4051
"59","Region Ouest",2020-11-01,"Age_G5",4098
"60","Region Ouest",2020-12-01,"Age_G5",4676
"61","Region Ouest",2021-01-01,"Age_G5",5224
"62","Region Ouest",2021-02-01,"Age_G5",5141
"63","Region Ouest",2021-03-01,"Age_G5",5517
"64","Region Ouest",2021-04-01,"Age_G5",6040
"65","Region Ouest",2021-05-01,"Age_G5",5904
"66","Region Ouest",2021-06-01,"Age_G5",6512
"67","Region Ouest",2021-07-01,"Age_G5",6113
"68","Region Ouest",2021-08-01,"Age_G5",6512
"69","Region Ouest",2021-09-01,"Age_G5",6184
"70","Region Ouest",2021-10-01,"Age_G5",5519
"71","Region Ouest",2021-11-01,"Age_G5",5003
"72","Region Ouest",2021-12-01,"Age_G5",5124
