"","Region","Date","Age_group","Cases"
"1","Region Sud",2019-01-01,"Age_L5",1007
"2","Region Sud",2019-02-01,"Age_L5",913
"3","Region Sud",2019-03-01,"Age_L5",1105
"4","Region Sud",2019-04-01,"Age_L5",1397
"5","Region Sud",2019-05-01,"Age_L5",1565
"6","Region Sud",2019-06-01,"Age_L5",1204
"7","Region Sud",2019-07-01,"Age_L5",1045
"8","Region Sud",2019-08-01,"Age_L5",930
"9","Region Sud",2019-09-01,"Age_L5",868
"10","Region Sud",2019-10-01,"Age_L5",974
"11","Region Sud",2019-11-01,"Age_L5",1050
"12","Region Sud",2019-12-01,"Age_L5",1012
"13","Region Sud",2020-01-01,"Age_L5",1494
"14","Region Sud",2020-02-01,"Age_L5",1161
"15","Region Sud",2020-03-01,"Age_L5",1246
"16","Region Sud",2020-04-01,"Age_L5",1185
"17","Region Sud",2020-05-01,"Age_L5",1359
"18","Region Sud",2020-06-01,"Age_L5",1429
"19","Region Sud",2020-07-01,"Age_L5",1028
"20","Region Sud",2020-08-01,"Age_L5",927
"21","Region Sud",2020-09-01,"Age_L5",987
"22","Region Sud",2020-10-01,"Age_L5",1055
"23","Region Sud",2020-11-01,"Age_L5",1174
"24","Region Sud",2020-12-01,"Age_L5",1160
"25","Region Sud",2021-01-01,"Age_L5",1300
"26","Region Sud",2021-02-01,"Age_L5",1160
"27","Region Sud",2021-03-01,"Age_L5",1200
"28","Region Sud",2021-04-01,"Age_L5",1256
"29","Region Sud",2021-05-01,"Age_L5",1355
"30","Region Sud",2021-06-01,"Age_L5",1577
"31","Region Sud",2021-07-01,"Age_L5",1443
"32","Region Sud",2021-08-01,"Age_L5",1401
"33","Region Sud",2021-09-01,"Age_L5",1292
"34","Region Sud",2021-10-01,"Age_L5",1364
"35","Region Sud",2021-11-01,"Age_L5",1352
"36","Region Sud",2021-12-01,"Age_L5",1274
"37","Region Sud",2019-01-01,"Age_G5",1637
"38","Region Sud",2019-02-01,"Age_G5",1469
"39","Region Sud",2019-03-01,"Age_G5",1754
"40","Region Sud",2019-04-01,"Age_G5",2114
"41","Region Sud",2019-05-01,"Age_G5",2189
"42","Region Sud",2019-06-01,"Age_G5",1944
"43","Region Sud",2019-07-01,"Age_G5",1986
"44","Region Sud",2019-08-01,"Age_G5",1705
"45","Region Sud",2019-09-01,"Age_G5",1563
"46","Region Sud",2019-10-01,"Age_G5",1555
"47","Region Sud",2019-11-01,"Age_G5",1891
"48","Region Sud",2019-12-01,"Age_G5",1986
"49","Region Sud",2020-01-01,"Age_G5",2418
"50","Region Sud",2020-02-01,"Age_G5",1958
"51","Region Sud",2020-03-01,"Age_G5",2380
"52","Region Sud",2020-04-01,"Age_G5",2273
"53","Region Sud",2020-05-01,"Age_G5",2931
"54","Region Sud",2020-06-01,"Age_G5",2734
"55","Region Sud",2020-07-01,"Age_G5",2216
"56","Region Sud",2020-08-01,"Age_G5",1906
"57","Region Sud",2020-09-01,"Age_G5",1926
"58","Region Sud",2020-10-01,"Age_G5",1644
"59","Region Sud",2020-11-01,"Age_G5",2075
"60","Region Sud",2020-12-01,"Age_G5",2389
"61","Region Sud",2021-01-01,"Age_G5",2388
"62","Region Sud",2021-02-01,"Age_G5",2324
"63","Region Sud",2021-03-01,"Age_G5",2299
"64","Region Sud",2021-04-01,"Age_G5",3082
"65","Region Sud",2021-05-01,"Age_G5",2998
"66","Region Sud",2021-06-01,"Age_G5",2825
"67","Region Sud",2021-07-01,"Age_G5",2618
"68","Region Sud",2021-08-01,"Age_G5",2514
"69","Region Sud",2021-09-01,"Age_G5",2499
"70","Region Sud",2021-10-01,"Age_G5",2525
"71","Region Sud",2021-11-01,"Age_G5",2811
"72","Region Sud",2021-12-01,"Age_G5",2476
