region,month,obs,model,pred
Centre,2019-01-01,27425,2param,0
Centre,2019-01-01,27425,4param,7706
Centre,2019-02-01,27920,2param,15.5
Centre,2019-02-01,27920,4param,7432
Centre,2019-03-01,29448,2param,118
Centre,2019-03-01,29448,4param,9933.5
Centre,2019-04-01,29618,2param,1161
Centre,2019-04-01,29618,4param,10954
Centre,2019-05-01,31754,2param,2335.5
Centre,2019-05-01,31754,4param,10763.5
Centre,2019-06-01,27178,2param,693.5
Centre,2019-06-01,27178,4param,9687.5
Centre,2019-07-01,24746,2param,408
Centre,2019-07-01,24746,4param,8654.5
Centre,2019-08-01,21702,2param,451.5
Centre,2019-08-01,21702,4param,8101
Centre,2019-09-01,26424,2param,400.5
Centre,2019-09-01,26424,4param,7828
Centre,2019-10-01,25387,2param,442
Centre,2019-10-01,25387,4param,7705.5
Centre,2019-11-01,26124,2param,456
Centre,2019-11-01,26124,4param,7695.5
Centre,2019-12-01,25832,2param,917
Centre,2019-12-01,25832,4param,7407.5
Adamaoua,2019-01-01,7315,2param,0
Adamaoua,2019-01-01,7315,4param,7706
Adamaoua,2019-02-01,5731,2param,15.5
Adamaoua,2019-02-01,5731,4param,7432
Adamaoua,2019-03-01,6880,2param,118
Adamaoua,2019-03-01,6880,4param,9933.5
Adamaoua,2019-04-01,8825,2param,1161
Adamaoua,2019-04-01,8825,4param,10954
Adamaoua,2019-05-01,10630,2param,2335.5
Adamaoua,2019-05-01,10630,4param,10763.5
Adamaoua,2019-06-01,8949,2param,693.5
Adamaoua,2019-06-01,8949,4param,9687.5
Adamaoua,2019-07-01,8825,2param,408
Adamaoua,2019-07-01,8825,4param,8654.5
Adamaoua,2019-08-01,10002,2param,451.5
Adamaoua,2019-08-01,10002,4param,8101
Adamaoua,2019-09-01,8920,2param,400.5
Adamaoua,2019-09-01,8920,4param,7828
Adamaoua,2019-10-01,10397,2param,442
Adamaoua,2019-10-01,10397,4param,7705.5
Adamaoua,2019-11-01,7975,2param,456
Adamaoua,2019-11-01,7975,4param,7695.5
Adamaoua,2019-12-01,6564,2param,917
Adamaoua,2019-12-01,6564,4param,7407.5
Nord,2019-01-01,9968,2param,0
Nord,2019-01-01,9968,4param,7706
Nord,2019-02-01,8172,2param,15.5
Nord,2019-02-01,8172,4param,7432
Nord,2019-03-01,8537,2param,118
Nord,2019-03-01,8537,4param,9933.5
Nord,2019-04-01,6426,2param,1161
Nord,2019-04-01,6426,4param,10954
Nord,2019-05-01,6745,2param,2335.5
Nord,2019-05-01,6745,4param,10763.5
Nord,2019-06-01,8730,2param,693.5
Nord,2019-06-01,8730,4param,9687.5
Nord,2019-07-01,10212,2param,408
Nord,2019-07-01,10212,4param,8654.5
Nord,2019-08-01,12836,2param,451.5
Nord,2019-08-01,12836,4param,8101
Nord,2019-09-01,13725,2param,400.5
Nord,2019-09-01,13725,4param,7828
Nord,2019-10-01,19154,2param,442
Nord,2019-10-01,19154,4param,7705.5
Nord,2019-11-01,15849,2param,456
Nord,2019-11-01,15849,4param,7695.5
Nord,2019-12-01,11774,2param,917
Nord,2019-12-01,11774,4param,7407.5
Littoral,2019-01-01,14899,2param,0
Littoral,2019-01-01,14899,4param,7706
Littoral,2019-02-01,13910,2param,15.5
Littoral,2019-02-01,13910,4param,7432
Littoral,2019-03-01,15133,2param,118
Littoral,2019-03-01,15133,4param,9933.5
Littoral,2019-04-01,17850,2param,1161
Littoral,2019-04-01,17850,4param,10954
Littoral,2019-05-01,17393,2param,2335.5
Littoral,2019-05-01,17393,4param,10763.5
Littoral,2019-06-01,15519,2param,693.5
Littoral,2019-06-01,15519,4param,9687.5
Littoral,2019-07-01,16622,2param,408
Littoral,2019-07-01,16622,4param,8654.5
Littoral,2019-08-01,13768,2param,451.5
Littoral,2019-08-01,13768,4param,8101
Littoral,2019-09-01,14875,2param,400.5
Littoral,2019-09-01,14875,4param,7828
Littoral,2019-10-01,14211,2param,442
Littoral,2019-10-01,14211,4param,7705.5
Littoral,2019-11-01,11208,2param,456
Littoral,2019-11-01,11208,4param,7695.5
Littoral,2019-12-01,10988,2param,917
Littoral,2019-12-01,10988,4param,7407.5
Sud,2019-01-01,2644,2param,0
Sud,2019-01-01,2644,4param,7706
Sud,2019-02-01,2382,2param,15.5
Sud,2019-02-01,2382,4param,7432
Sud,2019-03-01,2859,2param,118
Sud,2019-03-01,2859,4param,9933.5
Sud,2019-04-01,3511,2param,1161
Sud,2019-04-01,3511,4param,10954
Sud,2019-05-01,3754,2param,2335.5
Sud,2019-05-01,3754,4param,10763.5
Sud,2019-06-01,3148,2param,693.5
Sud,2019-06-01,3148,4param,9687.5
Sud,2019-07-01,3031,2param,408
Sud,2019-07-01,3031,4param,8654.5
Sud,2019-08-01,2635,2param,451.5
Sud,2019-08-01,2635,4param,8101
Sud,2019-09-01,2431,2param,400.5
Sud,2019-09-01,2431,4param,7828
Sud,2019-10-01,2529,2param,442
Sud,2019-10-01,2529,4param,7705.5
Sud,2019-11-01,2941,2param,456
Sud,2019-11-01,2941,4param,7695.5
Sud,2019-12-01,2998,2param,917
Sud,2019-12-01,2998,4param,7407.5
Ouest,2019-01-01,5161,2param,0
Ouest,2019-01-01,5161,4param,7706
Ouest,2019-02-01,5491,2param,15.5
Ouest,2019-02-01,5491,4param,7432
Ouest,2019-03-01,7428,2param,118
Ouest,2019-03-01,7428,4param,9933.5
Ouest,2019-04-01,9186,2param,1161
Ouest,2019-04-01,9186,4param,10954
Ouest,2019-05-01,9283,2param,2335.5
Ouest,2019-05-01,9283,4param,10763.5
Ouest,2019-06-01,9239,2param,693.5
Ouest,2019-06-01,9239,4param,9687.5
Ouest,2019-07-01,8733,2param,408
Ouest,2019-07-01,8733,4param,8654.5
Ouest,2019-08-01,6889,2param,451.5
Ouest,2019-08-01,6889,4param,8101
Ouest,2019-09-01,6123,2param,400.5
Ouest,2019-09-01,6123,4param,7828
Ouest,2019-10-01,6919,2param,442
Ouest,2019-10-01,6919,4param,7705.5
Ouest,2019-11-01,5356,2param,456
Ouest,2019-11-01,5356,4param,7695.5
Ouest,2019-12-01,5580,2param,917
Ouest,2019-12-01,5580,4param,7407.5
NordOuest,2019-01-01,5257,2param,0
NordOuest,2019-01-01,5257,4param,7706
NordOuest,2019-02-01,4218,2param,15.5
NordOuest,2019-02-01,4218,4param,7432
NordOuest,2019-03-01,5566,2param,118
NordOuest,2019-03-01,5566,4param,9933.5
NordOuest,2019-04-01,7162,2param,1161
NordOuest,2019-04-01,7162,4param,10954
NordOuest,2019-05-01,7810,2param,2335.5
NordOuest,2019-05-01,7810,4param,10763.5
NordOuest,2019-06-01,7826,2param,693.5
NordOuest,2019-06-01,7826,4param,9687.5
NordOuest,2019-07-01,7057,2param,408
NordOuest,2019-07-01,7057,4param,8654.5
NordOuest,2019-08-01,6425,2param,451.5
NordOuest,2019-08-01,6425,4param,8101
NordOuest,2019-09-01,4350,2param,400.5
NordOuest,2019-09-01,4350,4param,7828
NordOuest,2019-10-01,4284,2param,442
NordOuest,2019-10-01,4284,4param,7705.5
NordOuest,2019-11-01,5118,2param,456
NordOuest,2019-11-01,5118,4param,7695.5
NordOuest,2019-12-01,9016,2param,917
NordOuest,2019-12-01,9016,4param,7407.5
SudOuest,2019-01-01,7286,2param,0
SudOuest,2019-01-01,7286,4param,7706
SudOuest,2019-02-01,6168,2param,15.5
SudOuest,2019-02-01,6168,4param,7432
SudOuest,2019-03-01,7699,2param,118
SudOuest,2019-03-01,7699,4param,9933.5
SudOuest,2019-04-01,7907,2param,1161
SudOuest,2019-04-01,7907,4param,10954
SudOuest,2019-05-01,9375,2param,2335.5
SudOuest,2019-05-01,9375,4param,10763.5
SudOuest,2019-06-01,8803,2param,693.5
SudOuest,2019-06-01,8803,4param,9687.5
SudOuest,2019-07-01,9128,2param,408
SudOuest,2019-07-01,9128,4param,8654.5
SudOuest,2019-08-01,8656,2param,451.5
SudOuest,2019-08-01,8656,4param,8101
SudOuest,2019-09-01,6791,2param,400.5
SudOuest,2019-09-01,6791,4param,7828
SudOuest,2019-10-01,8129,2param,442
SudOuest,2019-10-01,8129,4param,7705.5
SudOuest,2019-11-01,8603,2param,456
SudOuest,2019-11-01,8603,4param,7695.5
SudOuest,2019-12-01,8247,2param,917
SudOuest,2019-12-01,8247,4param,7407.5
Est,2019-01-01,7833,2param,0
Est,2019-01-01,7833,4param,7706
Est,2019-02-01,7912,2param,15.5
Est,2019-02-01,7912,4param,7432
Est,2019-03-01,9187,2param,118
Est,2019-03-01,9187,4param,9933.5
Est,2019-04-01,10374,2param,1161
Est,2019-04-01,10374,4param,10954
Est,2019-05-01,12301,2param,2335.5
Est,2019-05-01,12301,4param,10763.5
Est,2019-06-01,10101,2param,693.5
Est,2019-06-01,10101,4param,9687.5
Est,2019-07-01,9074,2param,408
Est,2019-07-01,9074,4param,8654.5
Est,2019-08-01,7697,2param,451.5
Est,2019-08-01,7697,4param,8101
Est,2019-09-01,6972,2param,400.5
Est,2019-09-01,6972,4param,7828
Est,2019-10-01,9011,2param,442
